KM;LAT;LONG;ESTACA;TEXTO FORMATO GOOGLE;link para google maps
147,35;-23,195811;-45,872539;7367,500000;-45.8725386958889,-23.1958114803333;https://www.google.com.br/maps/@-45.8725386958889,-23.1958114803333,20z
147,36;-23,195855;-45,872624;7368,000000;-45.872624485,-23.195854686;https://www.google.com.br/maps/@-45.872624485,-23.195854686,20z
147,37;-23,195898;-45,872710;7368,500000;-45.8727099572222,-23.1958983082222;https://www.google.com.br/maps/@-45.8727099572222,-23.1958983082222,20z
147,38;-23,195942;-45,872795;7369,000000;-45.8727950265555,-23.1959424648889;https://www.google.com.br/maps/@-45.8727950265555,-23.1959424648889,20z
147,39;-23,195987;-45,872880;7369,500000;-45.8728799543333,-23.1959868093333;https://www.google.com.br/maps/@-45.8728799543333,-23.1959868093333,20z
147,40;-23,196032;-45,872965;7370,000000;-45.8729646418889,-23.1960316498889;https://www.google.com.br/maps/@-45.8729646418889,-23.1960316498889,20z
147,41;-23,196077;-45,873049;7370,500000;-45.8730493078889,-23.1960766138889;https://www.google.com.br/maps/@-45.8730493078889,-23.1960766138889,20z
147,42;-23,196122;-45,873134;7371,000000;-45.8731339356666,-23.1961221416667;https://www.google.com.br/maps/@-45.8731339356666,-23.1961221416667,20z
147,43;-23,196168;-45,873218;7371,500000;-45.8732182992817,-23.1961677248066;https://www.google.com.br/maps/@-45.8732182992817,-23.1961677248066,20z
147,44;-23,196213;-45,873302;7372,000000;-45.8733021501105,-23.1962134154144;https://www.google.com.br/maps/@-45.8733021501105,-23.1962134154144,20z
147,45;-23,196260;-45,873386;7372,500000;-45.8733861094444,-23.1962596586667;https://www.google.com.br/maps/@-45.8733861094444,-23.1962596586667,20z
147,46;-23,196306;-45,873470;7373,000000;-45.873470165,-23.196306392;https://www.google.com.br/maps/@-45.873470165,-23.196306392,20z
147,47;-23,196354;-45,873554;7373,500000;-45.8735536798895,-23.196353751547;https://www.google.com.br/maps/@-45.8735536798895,-23.196353751547,20z
147,48;-23,196401;-45,873637;7374,000000;-45.8736369948066,-23.1964013427072;https://www.google.com.br/maps/@-45.8736369948066,-23.1964013427072,20z
147,49;-23,196449;-45,873720;7374,500000;-45.8737201918681,-23.196448753956;https://www.google.com.br/maps/@-45.8737201918681,-23.196448753956,20z
147,50;-23,196496;-45,873803;7375,000000;-45.8738034418681,-23.1964961143956;https://www.google.com.br/maps/@-45.8738034418681,-23.1964961143956,20z
147,51;-23,196543;-45,873887;7375,500000;-45.8738872605494,-23.1965431583516;https://www.google.com.br/maps/@-45.8738872605494,-23.1965431583516,20z
