ID do NOX;Latitude;Longitude
Dados de teste 575;-23,351819;-46,199903
Dados de teste 576;-23,231421;-45,912761
Dados de teste 577;-22,494786;-44,570291
Dados de teste 578;-23,332153;-46,137083
Dados de teste 579;-23,226163;-45,907178
Dados de teste 580;-23,332807;-46,138367
Dados de teste 581;-22,930203;-45,36159
Dados de teste 582;-22,49441;-44,56938
Dados de teste 583;-23,35245;-46,200788
Dados de teste 584;-23,333617;-46,139918
Dados de teste 585;-23,469325;-46,511675
Dados de teste 586;-23,503939;-46,567364
Dados de teste 587;-23,471633;-46,518239
Dados de teste 588;-23,499414;-46,560291
Dados de teste 589;0;0
Dados de teste 590;0;0
Dados de teste 591;0;0
Dados de teste 592;-23,461872;-46,49035
Dados de teste 593;-23,490877;-46,549706
Dados de teste 594;-23,471872;-46,518711
Dados de teste 595;-23,461872;-46,49035
Dados de teste 596;0;0
Dados de teste 597;-23,461961;-46,490614
Dados de teste 598;-23,226163;-45,907178
Dados de teste 599;-23,461961;-46,490614
Dados de teste 600;-22,93041;-45,36185
Dados de teste 601;-23,462064;-46,490881
Dados de teste 602;0;0
Dados de teste 603;-23,462064;-46,490881
Dados de teste 604;-23,232625;-45,914268
Dados de teste 605;-23,234387;-45,916204
Dados de teste 606;-23,233087;-45,914583
Dados de teste 607;0;0
Dados de teste 608;-23,492764;-46,552543
Dados de teste 609;0;0
Dados de teste 610;-23,500331;-46,559875
Dados de teste 611;-23,461689;-46,489819
Dados de teste 612;-23,461689;-46,489819
Dados de teste 613;0;0
Dados de teste 614;-23,496481;-46,557503
Dados de teste 615;-23,242012;-45,924318
Dados de teste 616;-23,46984;-46,51244
Dados de teste 617;0;0
Dados de teste 618;-23,24114;-45,923472
Dados de teste 619;-23,462158;-46,491153
Dados de teste 620;-23,498089;-46,558447
Dados de teste 621;-23,462158;-46,491153
Dados de teste 622;-23,233015;-45,914377
Dados de teste 623;-23,23335;-45,91478
Dados de teste 624;0;0
Dados de teste 625;0;0
Dados de teste 626;0;0
